Transaction Date, Posting Date, Billing Amount, Merchant, Merchant City , Merchant State , Merchant Zip , Reference Number , Debit/Credit Flag , SICMCC Code
11/4/16,11/7/16,$74.81 ,BON CHON - LOWELL,LOWELL,MA,1851," ""24269796310100386887261""",D,5812
11/4/16,11/7/16,$16.75 ,BON CHON - LOWELL,LOWELL,MA,1851," ""24269796310100386887345""",D,5812
5/4/17,5/4/17,$14.65 ,INTEREST CHARGE-PURCHASES,,,," """"",D,0
5/4/17,5/4/17,$0.03 ,INTEREST CHARGE-FEE,,,," """"",D,0
5/2/17,5/2/17,($900.00),PAYMENT RECEIVED -- THANK,YOU,,," ""80000000973""",C,0
5/1/17,5/1/17,$35.00 ,LATE PAYMENT FEE,,,," """"",D,0
5/1/17,5/2/17,$10.85 ,CHIPOTLE 1373,NASHUA,NH,3060," ""24431067122207888700368""",D,5814
4/30/17,5/1/17,$16.95 ,TARGET        00024802,LOWELL,MA,1852," ""24164077120091007790946""",D,5310
4/29/17,5/1/17,$10.50 ,EGYPTIAN GRILL,LOWELL,MA,1854," ""24431067119091044000359""",D,5814
4/29/17,5/1/17,$3.18 ,CVS/PHARMACY #05493,LOWELL,MA,1850," ""24445007120000836635188""",D,5912
4/29/17,5/1/17,$30.23 ,GULF OIL 90603456,WESTFORD,MA,1886," ""24231687120837008719689""",D,5542
4/28/17,5/1/17,$7.24 ,DUNKIN #346039     Q35,LOWELL,MA,1854," ""24610437119072023230272""",D,5814
4/27/17,5/1/17,$9.99 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797118500654537278""",D,5814
4/26/17,4/28/17,$7.65 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797117500634588194""",D,5814
4/26/17,4/28/17,$3.25 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797117500634588277""",D,5814
4/25/17,4/27/17,$1.69 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797116500593110064""",D,5814
4/25/17,4/27/17,$2.54 ,847 - BRUNSWICK ZONE -,LOWELL,MA,1854," ""24269797116500593110148""",D,7933
4/25/17,4/27/17,$6.12 ,847 - BRUNSWICK ZONE -,LOWELL,MA,1854," ""24269797116500593110221""",D,7933
4/24/17,4/25/17,$2.00 ,SPIT BROOK MARKET,NASHUA,NH,3062," ""24733097114286981901109""",D,5499
4/24/17,4/25/17,$18.53 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437115105000616600""",D,5812
4/23/17,4/24/17,$36.88 ,MARKET BASKET 00000190,LOWELL,MA,1851," ""24164077113433001007050""",D,5411
4/21/17,4/24/17,$23.79 ,TAVERN IN THE SQUARE,LOWELL,MA,1851," ""24228997113018093145000""",D,5812
4/20/17,4/20/17,$44.05 ,PHO DA LAT STORE #1,CHELMSFORD,MA,1824," ""24692167110000426439862""",D,5812
4/20/17,4/21/17,$36.22 ,LUKOIL,TYNGSBORO,MA,1879," ""24055227110006004912777""",D,5542
4/20/17,4/21/17,$24.24 ,CHINA STAR,LOWELL,MA,1851," ""24275397110010646609812""",D,5812
4/20/17,4/24/17,$21.40 ,BGOOD NASHUA,NASHUA,NH,3060," ""24307927111900016600224""",D,5814
4/19/17,4/20/17,$14.17 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437110105000626612""",D,5812
4/18/17,4/20/17,$10.16 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797109500600421784""",D,5814
4/17/17,4/18/17,$14.46 ,5GUYS 1593 QSR,NASHUA,NH,3060," ""24445007107300429144623""",D,5814
4/16/17,4/18/17,$28.00 ,RED ROSE RESTAURANT,LOWELL,MA,1851," ""24207857107204900675756""",D,5812
4/15/17,4/17/17,$16.05 ,PRESSED CAFE,BURLINGTON,MA,1803," ""24224437106104009300549""",D,5812
4/14/17,4/17/17,$104.94 ,MARSHALLS #0025,NASHUA,NH,3060," ""24445007105000967302219""",D,5651
4/13/17,4/17/17,$12.36 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797104500705751833""",D,5814
4/12/17,4/13/17,$55.25 ,AXS.COM*BOWERY PRSNTS,888-929-7849,CA,90015," ""24692167102000830421688""",D,7922
4/12/17,4/13/17,$11.34 ,CHIPOTLE 1373,NASHUA,NH,3060," ""24431067103207888700387""",D,5814
4/11/17,4/12/17,$11.45 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437102105000640076""",D,5812
4/10/17,4/10/17,$22.00 ,EGYPTIAN GRILL,LOWELL,MA,1854," ""24431067100091045000136""",D,5814
4/10/17,4/11/17,$13.34 ,FANDANGO.COM,FANDANGO.COM,CA,90064," ""24692167100000486104945""",D,7832
4/10/17,4/11/17,$11.86 ,NOODLES & CO 7903,NASHUA,NH,3060," ""24431067101207288600080""",D,5812
4/9/17,4/10/17,$13.34 ,FANDANGO.COM,FANDANGO.COM,CA,90064," ""24692167099000926378417""",D,7832
4/9/17,4/10/17,$29.12 ,SPEEDWAY 02468,LOWELL,MA,1854," ""24224437100101028750791""",D,5542
4/9/17,4/10/17,$8.07 ,WALGREENS #11726,LOWELL,MA,1851," ""24445007100600131639555""",D,5912
4/8/17,4/10/17,$99.99 ,FOOT LOCKER 07693,NASHUA,NH,3060," ""24717057099730998250805""",D,5661
4/8/17,4/10/17,$5.44 ,TEAVANA #178,NASHUA,NH,3060," ""24692167099000960419689""",D,5499
4/7/17,4/10/17,$8.18 ,PRESSED CAFE,NASHUA,NH,3063," ""24224437098105000975874""",D,5812
4/6/17,4/7/17,$10.00 ,SQ *THE CHICKEN AND RICE,Burlington,MA,1803," ""24692167096000239603728""",D,5814
4/6/17,4/7/17,$16.58 ,HONG CUC GRAND EATERY IN,LOWELL,MA,1851," ""24733097096400634000159""",D,5812
4/6/17,4/10/17,$109.00 ,INSIGHT OPTICAL,BURLINGTON,MA,1803," ""24910167097007317679491""",D,8042
4/4/17,4/6/17,$12.47 ,CAFE SERVICES - THE TA,NASHUA,NH,3062," ""24269797095500517898781""",D,5814
